run_id,condition,rt,stimulus,key_press,trial_type,trial_index,time_elapsed,internal_node_id,success,test_part,correct_response,correct,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version
38,1,2033.0200000025798,"Welcome to the experiment. Press any key to begin.",32,html-keyboard-response,0,2087,0.0-0.0,"""","""","""","""","2020-09-21 03:38:08",181.164.53.97,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",WebKit,Chrome,85.0.4183.102,Windows,10.0
38,1,"""","""","""",fullscreen,1,4559,0.0-1.0,true,"""","""","""","2020-09-21 03:38:08",181.164.53.97,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",WebKit,Chrome,85.0.4183.102,Windows,10.0
38,1,13162.125000002561,"<p>In this experiment, a circle will appear in the center of the screen.</p><p>If the circle is <strong>blue</strong>, press the letter F on the keyboard as fast as you can.</p><p>If the circle is <strong>orange</strong>, press the letter J as fast as you can.</p><div style='width: 700px;'><div style='float: left;'><img src='img/blue.png'></img><p class='small'><strong>Press the F key</strong></p></div><div class='float: right;'><img src='img/orange.png'></img><p class='small'><strong>Press the J key</strong></p></div></div><p>Press any key to begin.</p>",32,html-keyboard-response,2,17722,0.0-2.0,"""","""","""","""","2020-09-21 03:38:08",181.164.53.97,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",WebKit,Chrome,85.0.4183.102,Windows,10.0
38,1,null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,3,20227,0.0-3.0-0.0,"""",fixation,"""","""","2020-09-21 03:38:08",181.164.53.97,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",WebKit,Chrome,85.0.4183.102,Windows,10.0
38,1,466.5249999961816,img/orange.png,74,image-keyboard-response,4,20695,0.0-3.0-1.0,"""",test,j,true,"2020-09-21 03:38:08",181.164.53.97,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",WebKit,Chrome,85.0.4183.102,Windows,10.0
38,1,null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,5,22448,0.0-3.0-0.1,"""",fixation,"""","""","2020-09-21 03:38:08",181.164.53.97,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",WebKit,Chrome,85.0.4183.102,Windows,10.0
38,1,464.14999999979045,img/blue.png,70,image-keyboard-response,6,22913,0.0-3.0-1.1,"""",test,f,true,"2020-09-21 03:38:08",181.164.53.97,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",WebKit,Chrome,85.0.4183.102,Windows,10.0
38,1,null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,7,23914,0.0-3.0-0.2,"""",fixation,"""","""","2020-09-21 03:38:08",181.164.53.97,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",WebKit,Chrome,85.0.4183.102,Windows,10.0
38,1,617.9200000042329,img/blue.png,70,image-keyboard-response,8,24535,0.0-3.0-1.2,"""",test,f,true,"2020-09-21 03:38:08",181.164.53.97,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",WebKit,Chrome,85.0.4183.102,Windows,10.0
38,1,null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,9,26286,0.0-3.0-0.3,"""",fixation,"""","""","2020-09-21 03:38:08",181.164.53.97,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",WebKit,Chrome,85.0.4183.102,Windows,10.0
38,1,487.3900000093272,img/orange.png,74,image-keyboard-response,10,26774,0.0-3.0-1.3,"""",test,j,true,"2020-09-21 03:38:08",181.164.53.97,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",WebKit,Chrome,85.0.4183.102,Windows,10.0
38,1,null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,11,28027,0.0-3.0-0.4,"""",fixation,"""","""","2020-09-21 03:38:08",181.164.53.97,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",WebKit,Chrome,85.0.4183.102,Windows,10.0
38,1,355.0799999939045,img/orange.png,74,image-keyboard-response,12,28383,0.0-3.0-1.4,"""",test,j,true,"2020-09-21 03:38:08",181.164.53.97,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",WebKit,Chrome,85.0.4183.102,Windows,10.0
38,1,null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,13,28635,0.0-3.0-0.5,"""",fixation,"""","""","2020-09-21 03:38:08",181.164.53.97,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",WebKit,Chrome,85.0.4183.102,Windows,10.0
38,1,444.5150000101421,img/blue.png,70,image-keyboard-response,14,29080,0.0-3.0-1.5,"""",test,f,true,"2020-09-21 03:38:08",181.164.53.97,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",WebKit,Chrome,85.0.4183.102,Windows,10.0
38,1,null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,15,29832,0.0-3.0-0.6,"""",fixation,"""","""","2020-09-21 03:38:08",181.164.53.97,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",WebKit,Chrome,85.0.4183.102,Windows,10.0
38,1,936.4900000073249,img/blue.png,70,image-keyboard-response,16,30771,0.0-3.0-1.6,"""",test,f,true,"2020-09-21 03:38:08",181.164.53.97,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",WebKit,Chrome,85.0.4183.102,Windows,10.0
38,1,null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,17,31522,0.0-3.0-0.7,"""",fixation,"""","""","2020-09-21 03:38:08",181.164.53.97,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",WebKit,Chrome,85.0.4183.102,Windows,10.0
38,1,431.1349999916274,img/orange.png,74,image-keyboard-response,18,31954,0.0-3.0-1.7,"""",test,j,true,"2020-09-21 03:38:08",181.164.53.97,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",WebKit,Chrome,85.0.4183.102,Windows,10.0
38,1,null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,19,33207,0.0-3.0-0.8,"""",fixation,"""","""","2020-09-21 03:38:08",181.164.53.97,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",WebKit,Chrome,85.0.4183.102,Windows,10.0
38,1,472.01500000664964,img/orange.png,74,image-keyboard-response,20,33681,0.0-3.0-1.8,"""",test,j,true,"2020-09-21 03:38:08",181.164.53.97,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",WebKit,Chrome,85.0.4183.102,Windows,10.0
38,1,null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,21,34932,0.0-3.0-0.9,"""",fixation,"""","""","2020-09-21 03:38:08",181.164.53.97,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",WebKit,Chrome,85.0.4183.102,Windows,10.0
38,1,572.1650000050431,img/blue.png,70,image-keyboard-response,22,35505,0.0-3.0-1.9,"""",test,f,true,"2020-09-21 03:38:08",181.164.53.97,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",WebKit,Chrome,85.0.4183.102,Windows,10.0
38,1,46.379999999771826,"<p>You responded correctly on 100% of the trials.</p><p>Your average response time was 525ms.</p><p>Press any key to complete the experiment. Thank you!</p>",67,html-keyboard-response,23,35553,0.0-4.0,"""","""","""","""","2020-09-21 03:38:08",181.164.53.97,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",WebKit,Chrome,85.0.4183.102,Windows,10.0
